Warehouse,Material,Value
HDC_A,4413,282.0
HDC_A,8527,258.5
HDC_A,10127533,258.5
HDC_A,10127583,258.5
HDC_A,10128530,258.5
HDC_A,10169762,392.5
HDC_A,10193224,312.0
HDC_A,10193329,312.5
HDC_A,10199637,269.5
HDC_A,10202719,258.5
HDC_A,10202777,258.5
HDC_A,10202938,258.5
HDC_A,10206065,419.0
HDC_A,10206187,278.0
HDC_A,10207835,258.5
HDC_A,10207836,258.5
HDC_A,10210896,327.5
HDC_A,10213162,322.0
HDC_A,10213754,258.5
HDC_A,10215579,258.5
HDC_A,10219994,275.5
HDC_A,10227547,1888.5
HDC_A,10230900,316.5
HDC_A,10233000,270.0
HDC_A,10238111,1037.5
HDC_A,10238766,258.5
HDC_A,10252222,258.5
HDC_A,10252223,258.5
HDC_A,11005154,258.5
HDC_A,11007471,258.5
HDC_A,11021224,258.5
HDC_R,11105,1841.5
HDC_R,11106,977.0
HDC_R,13057,5699.5
HDC_R,16482,1433.5
HDC_R,10144955,259.0
HDC_R,10152865,1220.5
HDC_R,10152866,798.5
HDC_R,10165920,258.5
HDC_R,10166249,3041.0
HDC_R,10168622,437.5
HDC_R,10168623,697.5
HDC_R,10170967,683.5
HDC_R,10170968,308.0
HDC_R,10170969,258.5
HDC_R,10172336,1910.5
HDC_R,10172917,260.0
HDC_R,10182112,258.5
HDC_R,10191864,407.5
HDC_R,10192742,389.5
HDC_R,10196713,2324.5
HDC_R,10202843,3257.5
HDC_R,10203082,429.0
HDC_R,10205067,2793.0
HDC_R,10205282,1809.0
HDC_R,10206804,332.5
HDC_R,10207683,258.5
HDC_R,10208357,280.0
HDC_R,10210044,1729.0
HDC_R,10210048,443.5
HDC_R,10213717,1975.5
HDC_R,10213870,745.0
HDC_R,10215080,309.0
HDC_R,10215082,831.0
HDC_R,10216200,1937.5
HDC_R,10223975,4217.5
HDC_R,10224493,5594.5
HDC_R,10224526,632.0
HDC_R,10224564,650.5
HDC_R,10224590,4034.5
HDC_R,10224626,2704.0
HDC_R,10225098,307.0
HDC_R,10225861,3102.0
HDC_R,10225862,31550.0
HDC_R,10226039,258.5
HDC_R,10231583,3234.5
HDC_R,10231651,924.0
HDC_R,10235845,780.5
HDC_R,10235846,258.5
HDC_R,10236901,258.5
HDC_R,10240140,398.0
HDC_R,10240151,1564.5
HDC_R,10240181,691.5
HDC_R,10240187,3709.5
HDC_R,10240591,266.0
HDC_R,10240596,489.0
HDC_R,10242244,258.5
HDC_R,10242259,316.0
HDC_R,10242459,18401.5
HDC_R,10242662,258.5
HDC_R,10242679,258.5
HDC_R,10246447,258.5
HDC_R,10247692,3353.5
HDC_R,10248405,479.0
HDC_R,10250464,3722.0
HDC_R,10252750,1014.0
HDC_R,10252926,258.5
HDC_R,11003059,4095.5
HDC_R,11004892,258.5
HDC_R,11005596,258.5
HDC_R,11008082,258.5
HDC_R,11008092,258.5
HDC_R,11020776,258.5
KDC_A,4413,1760.5
KDC_A,8527,2371.5
KDC_A,10127533,1496.0
KDC_A,10127583,661.5
KDC_A,10128530,661.5
KDC_A,10169762,2389.0
KDC_A,10193224,968.5
KDC_A,10193329,891.0
KDC_A,10199637,7268.0
KDC_A,10202719,12179.0
KDC_A,10202777,1447.5
KDC_A,10202938,4184.0
KDC_A,10206065,1495.5
KDC_A,10206187,754.0
KDC_A,10207835,1737.5
KDC_A,10207836,661.5
KDC_A,10210896,1485.0
KDC_A,10213162,1060.5
KDC_A,10213754,1111.0
KDC_A,10215579,12644.0
KDC_A,10219994,806.5
KDC_A,10227547,2466.0
KDC_A,10230900,1064.5
KDC_A,10233000,671.0
KDC_A,10238111,5929.5
KDC_A,10238766,661.5
KDC_A,10252222,1345.0
KDC_A,10252223,712.0
KDC_A,11005154,661.5
KDC_A,11007471,661.5
KDC_A,11021224,661.5
KDC_R,11105,24248.0
KDC_R,11106,20315.0
KDC_R,13057,204398.0
KDC_R,16482,16910.5
KDC_R,10144955,661.5
KDC_R,10152865,10646.5
KDC_R,10152866,6548.0
KDC_R,10165920,7750.0
KDC_R,10166249,15233.0
KDC_R,10168622,28416.5
KDC_R,10168623,9579.0
KDC_R,10170967,6246.0
KDC_R,10170968,2316.5
KDC_R,10170969,1285.5
KDC_R,10172336,37139.5
KDC_R,10172917,756.0
KDC_R,10182112,687.5
KDC_R,10191864,3954.0
KDC_R,10192742,3706.5
KDC_R,10196713,24640.5
KDC_R,10202843,53898.5
KDC_R,10203082,4733.0
KDC_R,10205067,14616.5
KDC_R,10205282,6793.0
KDC_R,10206804,1597.5
KDC_R,10207683,5145.0
KDC_R,10208357,849.0
KDC_R,10210044,30118.5
KDC_R,10210048,7560.5
KDC_R,10213717,29130.0
KDC_R,10213870,12832.0
KDC_R,10215080,2003.5
KDC_R,10215082,16450.0
KDC_R,10216200,26885.5
KDC_R,10223975,39477.5
KDC_R,10224493,19067.5
KDC_R,10224526,2551.5
KDC_R,10224564,2277.0
KDC_R,10224590,13268.0
KDC_R,10224626,8480.0
KDC_R,10225098,1135.0
KDC_R,10225861,30339.0
KDC_R,10225862,235594.5
KDC_R,10226039,17341.0
KDC_R,10231583,30666.0
KDC_R,10231651,14230.0
KDC_R,10235845,13735.5
KDC_R,10235846,3815.0
KDC_R,10236901,661.5
KDC_R,10240140,4357.0
KDC_R,10240151,17736.0
KDC_R,10240181,7231.5
KDC_R,10240187,31611.5
KDC_R,10240591,877.5
KDC_R,10240596,2616.0
KDC_R,10242244,684.0
KDC_R,10242259,661.5
KDC_R,10242459,118771.0
KDC_R,10242662,847.5
KDC_R,10242679,661.5
KDC_R,10246447,661.5
KDC_R,10247692,38654.0
KDC_R,10248405,1713.5
KDC_R,10250464,54619.0
KDC_R,10252750,13530.5
KDC_R,10252926,661.5
KDC_R,11003059,42962.5
KDC_R,11004892,724.5
KDC_R,11005596,721.0
KDC_R,11008082,734.0
KDC_R,11008092,661.5
KDC_R,11020776,888.5
UPS_A,4413,227.0
UPS_A,8527,1324.5
UPS_A,10127533,506.5
UPS_A,10127583,230.5
UPS_A,10128530,227.0
UPS_A,10169762,542.0
UPS_A,10193224,993.0
UPS_A,10193329,929.5
UPS_A,10199637,5229.0
UPS_A,10202719,13618.5
UPS_A,10202777,808.0
UPS_A,10202938,2670.0
UPS_A,10206065,346.5
UPS_A,10206187,236.0
UPS_A,10207835,1066.5
UPS_A,10207836,436.5
UPS_A,10210896,391.0
UPS_A,10213162,269.5
UPS_A,10213754,251.5
UPS_A,10215579,16450.5
UPS_A,10219994,480.0
UPS_A,10227547,6273.5
UPS_A,10230900,256.0
UPS_A,10233000,227.0
UPS_A,10238111,1136.5
UPS_A,10238766,227.0
UPS_A,10252222,506.5
UPS_A,10252223,346.5
UPS_A,11005154,227.0
UPS_A,11007471,241.5
UPS_A,11021224,227.0
UPS_R,11105,697.0
UPS_R,11106,3024.0
UPS_R,13057,93956.0
UPS_R,16482,658.0
UPS_R,10144955,227.0
UPS_R,10152865,243.5
UPS_R,10152866,257.5
UPS_R,10165920,1666.0
UPS_R,10166249,2689.0
UPS_R,10168622,10225.5
UPS_R,10168623,3614.5
UPS_R,10170967,1599.0
UPS_R,10170968,406.0
UPS_R,10170969,248.0
UPS_R,10172336,845.0
UPS_R,10172917,227.0
UPS_R,10182112,227.0
UPS_R,10191864,243.0
UPS_R,10192742,227.5
UPS_R,10196713,4620.5
UPS_R,10202843,15048.5
UPS_R,10203082,227.0
UPS_R,10205067,15028.5
UPS_R,10205282,9107.0
UPS_R,10206804,349.5
UPS_R,10207683,2542.5
UPS_R,10208357,232.5
UPS_R,10210044,304.5
UPS_R,10210048,260.0
UPS_R,10213717,6706.0
UPS_R,10213870,254.5
UPS_R,10215080,227.0
UPS_R,10215082,284.0
UPS_R,10216200,11242.5
UPS_R,10223975,38937.5
UPS_R,10224493,4572.0
UPS_R,10224526,691.5
UPS_R,10224564,455.5
UPS_R,10224590,3411.5
UPS_R,10224626,2020.5
UPS_R,10225098,238.0
UPS_R,10225861,8375.0
UPS_R,10225862,56462.0
UPS_R,10226039,12513.0
UPS_R,10231583,44278.5
UPS_R,10231651,16165.5
UPS_R,10235845,303.5
UPS_R,10235846,228.5
UPS_R,10236901,227.0
UPS_R,10240140,1010.5
UPS_R,10240151,3929.0
UPS_R,10240181,1749.0
UPS_R,10240187,7268.5
UPS_R,10240591,229.5
UPS_R,10240596,232.5
UPS_R,10242244,227.0
UPS_R,10242259,227.0
UPS_R,10242459,124428.5
UPS_R,10242662,242.0
UPS_R,10242679,227.0
UPS_R,10246447,227.0
UPS_R,10247692,679.5
UPS_R,10248405,471.5
UPS_R,10250464,4977.5
UPS_R,10252750,256.0
UPS_R,10252926,227.0
UPS_R,11003059,373.0
UPS_R,11004892,246.5
UPS_R,11005596,230.5
UPS_R,11008082,241.0
UPS_R,11008092,241.5
